name,price,shop,sku,shop_type,detail_url,image_url,comment_num,tag
燃大师户外折叠椅子便携式野餐克米特椅超轻钓鱼露营用品装备椅沙滩桌椅 中号卡其色,29.0,燃大师旗舰店,10078654580246,非自营,https://item.jd.com/10078654580246.html,//img11.360buyimg.com/n7/jfs/t1/86106/24/27772/97782/6491a69bF64a88f9e/242d5c2044f3ce11.jpg,1000,户外
原始人 户外折叠桌铝合金蛋卷桌露营桌子野餐桌椅便携式装备野营野炊 【大号】铝合金蛋卷桌-配收纳袋,276.0,原始人旗舰店,10058048037674,非自营,https://item.jd.com/10058048037674.html,//img14.360buyimg.com/n7/jfs/t1/106024/28/33268/325501/64b4a297F885d8723/7bfbfcf9ac0ffd7f.jpg,10000,户外
奥然 户外折叠椅克米特椅露营椅子户外椅子折叠便携露营椅沙滩椅 【黑色椅架-中号】黑色+塑料扶手,29.0,奥然运动户外旗舰店,10049434199646,非自营,https://item.jd.com/10049434199646.html,//img11.360buyimg.com/n7/jfs/t1/52706/36/23909/61114/64a23a52Fa57128b1/50b1a9128134f229.jpg,10000,户外
骆驼（CAMEL）帐篷户外便携式折叠野营露营公园野餐全自动帐篷【山系熊猫】1V32265017 松柏绿,482.3,骆驼（CAMEL）户外装备京东自营旗舰店,100026601755,自营,https://item.jd.com/100026601755.html,//img10.360buyimg.com/n7/jfs/t1/119677/1/28797/267399/63f70b9fF69612581/68265f00b2476fbd.jpg,10000,户外
科沃（KOVOL）涂银天幕户外露营方形四角大空间野餐帐篷防雨防晒野外便携式,99.0,KOVOL运动户外京东自营旗舰店,100058637565,自营,https://item.jd.com/100058637565.html,//img10.360buyimg.com/n7/jfs/t1/212121/14/33896/154581/64b49c87Fb9486394/f31c97701e5aeee9.jpg,2000,户外
奥然 卡式炉户外炉具卡斯炉野外炊具便携式燃气灶瓦斯炉煤气灶单灶 单独炉具（纸盒包装）,29.0,奥然运动户外旗舰店,10048556836043,非自营,https://item.jd.com/10048556836043.html,//img13.360buyimg.com/n7/jfs/t1/46118/37/22998/138642/63e211f9F18dfaef6/b49ca7b772499aed.jpg,5000,户外
Dr.HOWS韩国户外扁便携式户外高原高山野外野炊气罐 高山气230*4,35.0,Dr.HOWS佰创专卖店,10076662911257,非自营,https://item.jd.com/10076662911257.html,//img12.360buyimg.com/n7/jfs/t1/43205/36/22748/46831/646f2667F1d3159d0/38f60479866c5b04.jpg,10000,户外
欧菲斯（OFEIS） 德国帐篷户外大门厅便携式公园露营防风防晒全自动液压收纳4-6人 米咖色 送野餐垫，防潮垫,369.0,OFEIS京东自营旗舰店,10051330270476,自营,https://item.jd.com/10051330270476.html,//img11.360buyimg.com/n7/jfs/t1/101399/35/44140/214791/649efbdcFe5d78fb5/7be75dc7e1787c58.jpg,20000,户外
迪卡侬户外露营抓绒毯摇粒绒毯轻盈易收纳毯子被子保暖舒适轻ODCF灰黑色-4181596,49.9,迪卡侬京东自营旗舰店,100028148549,自营,https://item.jd.com/100028148549.html,//img14.360buyimg.com/n7/jfs/t1/99863/21/34343/111503/64b2c31eF4e26de86/26d37113c5ed1269.jpg,500,户外
科蒂尼塔（COTYNTA）品牌冲锋衣男女春秋季新款 时尚休闲百搭外套户外运动防风登山服 女-白色 M,1499.0,科蒂尼塔COTYNTA运动旗舰店,10069846890401,非自营,https://item.jd.com/10069846890401.html,//img11.360buyimg.com/n7/jfs/t1/91464/34/35684/109684/63fec5b0F5f33dcab/e9f5ba006ed66aa7.jpg,2,户外
科沃（KOVOL）懒人充气沙发户外音乐节便携露营带枕头气垫床躺椅网红自动空气床,59.0,KOVOL运动户外京东自营旗舰店,100046352130,自营,https://item.jd.com/100046352130.html,//img10.360buyimg.com/n7/jfs/t1/130836/17/36318/284055/648973d5Fef213843/7c5f951f6e3306f3.jpg,500,户外
卡瓦图小刀随身迷你鹰爪子刀折叠刀防身刀具便携弯刀户外野营,15.0,卡瓦图京东自营旗舰店,100022132350,自营,https://item.jd.com/100022132350.html,//img10.360buyimg.com/n7/jfs/t1/118612/37/37253/190416/647055c3F8233f1be/b78c4ff127d724c1.jpg,2000,户外
挪客（NatureHike）屋脊13自动帐篷户外露营装备两室一厅防水防晒帐篷 深咖色,2699.0,挪客旗舰店,10054884036104,非自营,https://item.jd.com/10054884036104.html,//img14.360buyimg.com/n7/jfs/t1/139476/34/37346/59509/64b2ca0aF65b83ce5/59cca6c8575afd67.jpg,500,户外
安丹迪（Adandyish）蓄电池充气泵 户外游泳池充气床船水池坐骑泳圈玩具用 700mAH,52.0,永旭户外京东自营专区,100047575738,自营,https://item.jd.com/100047575738.html,//img13.360buyimg.com/n7/jfs/t1/92065/29/37300/120541/649cf3f4F59a7930f/e32ccd1ca2867231.jpg,1000,户外
迈牛（MYNEW）天幕帐篷户外露营遮阳棚野餐防晒防雨野外公园快捷免搭多功能折叠 5.2米银色+围布超大家庭款,949.0,迈牛专卖店,10068221505322,非自营,https://item.jd.com/10068221505322.html,//img12.360buyimg.com/n7/jfs/t1/183971/37/32377/220977/63f434d3F2b974b1a/4f7402c2c306816a.jpg,500,户外
